Plot,Code,Dominant,Quarter,Dominant_Species,H,B,L,T,R,O,S,Comments,trt,Replication,year
21,H:D-E:2,1,D,H,61,96,0,0,0,0,0,,1,2,1
22,H:D-E:4,1,A,H,58,0,0,0,0,0,0,,1,4,1
22,H:D-E:4,1,B,H,50,0,0,0,0,1,0,,1,4,1
22,H:D-E:4,1,C,H,40,0,0,0,0,0,0,,1,4,1
22,H:D-E:4,1,D,H,23,0,0,0,0,0,1,,1,4,1
23,L:M-C:1,0,A,L,,,2,,,,,,0,1,1
23,L:M-C:1,0,B,L,,,6,,,,,,0,1,1
23,L:M-C:1,0,C,L,,,19,,,,,,0,1,1
23,L:M-C:1,0,D,L,,,7,,,,,,0,1,1
24,S:M-E:5,0,A,S,,,,,,,223,,1,5,1
24,S:M-E:5,0,B,S,,,,,,,134,,1,5,1
24,S:M-E:5,0,C,S,,,,,,,180,,1,5,1
24,S:M-E:5,0,D,S,,,,,,,175,,1,5,1
25,H:M-E:4,0,A,H,110,,,,,,,,1,4,1
25,H:M-E:4,0,B,H,99,,,,,,,,1,4,1
25,H:M-E:4,0,C,H,108,,,,,,,,1,4,1
25,H:M-E:4,0,D,H,123,,,,,,,,1,4,1
26,L:D-E:5,1,A,L,12,12,0,0,1,0,2,,1,5,1
26,L:D-E:5,1,B,L,4,18,0,0,1,9,1,,1,5,1
26,L:D-E:5,1,C,L,26,12,0,0,0,0,0,,1,5,1
26,L:D-E:5,1,D,L,13,58,0,0,1,2,0,,1,5,1
27,S:M-E:4,0,A,S,,,,,,,51,,1,4,1
27,S:M-E:4,0,B,S,,,,,,,60,,1,4,1
27,S:M-E:4,0,C,S,,,,,,,167,,1,4,1
27,S:M-E:4,0,D,S,,,,,,,72,,1,4,1
28,O:M-E:4,0,A,O,,,,,,86,,,1,4,1
28,O:M-E:4,0,B,O,,,,,,95,,,1,4,1
28,O:M-E:4,0,C,O,,,,,,100,,,1,4,1
28,O:M-E:4,0,D,O,,,,,,161,,,1,4,1
29,L:D-L:3,1,A,L,0,0,0,0,0,0,0,,2,3,1
29,L:D-L:3,1,B,L,14,0,0,0,0,0,0,,2,3,1
29,L:D-L:3,1,C,L,25,0,0,0,0,0,0,,2,3,1
29,L:D-L:3,1,D,L,26,0,0,0,0,0,0,,2,3,1
30,S:M-E:3,0,A,S,,,,,,,180,,1,3,1
30,S:M-E:3,0,B,S,,,,,,,158,,1,3,1
30,S:M-E:3,0,C,S,,,,,,,74,,1,3,1
30,S:M-E:3,0,D,S,,,,,,,81,,1,3,1
31,T:D-L:4,1,A,T,36,0,0,0,0,0,0,,2,4,1
31,T:D-L:4,1,B,T,43,0,0,0,0,0,0,,2,4,1
31,T:D-L:4,1,C,T,25,0,0,0,0,0,0,,2,4,1
31,T:D-L:4,1,D,T,75,0,0,0,0,0,0,,2,4,1
32,R:M-E:3,0,A,R,,,,,219,,,,1,3,1
32,R:M-E:3,0,B,R,,,,,201,,,,1,3,1
32,R:M-E:3,0,C,R,,,,,172,,,,1,3,1
32,R:M-E:3,0,D,R,,,,,250,,,,1,3,1
33,B:D-L:4,1,A,B,25,51,0,0,0,0,0,,2,4,1
33,B:D-L:4,1,B,B,51,54,0,0,0,0,1,,2,4,1
33,B:D-L:4,1,C,B,46,25,0,0,0,0,0,,2,4,1
33,B:D-L:4,1,D,B,24,42,0,0,2,0,2,,2,4,1
34,O:D-L:1,1,A,O,25,1,0,0,0,0,0,,2,1,1
34,O:D-L:1,1,B,O,35,9,0,0,0,1,2,,2,1,1
34,O:D-L:1,1,C,O,26,3,0,0,0,0,0,,2,1,1
34,O:D-L:1,1,D,O,42,6,0,0,0,0,0,,2,1,1
35,H:D-C:5,1,A,H,45,14,0,0,0,1,3,,0,5,1
35,H:D-C:5,1,B,H,50,23,0,0,0,3,7,,0,5,1
35,H:D-C:5,1,C,H,54,6,0,0,0,0,0,,0,5,1
35,H:D-C:5,1,D,H,28,0,0,0,0,0,2,,0,5,1
36,R:M-C:5,0,A,R,,,,,100,,,,0,5,1
36,R:M-C:5,0,B,R,,,,,159,,,,0,5,1
36,R:M-C:5,0,C,R,,,,,95,,,,0,5,1
36,R:M-C:5,0,D,R,,,,,159,,,,0,5,1
37,T:M-E:3,0,A,T,,,,26,,,,,1,3,1
37,T:M-E:3,0,B,T,,,,24,,,,,1,3,1
37,T:M-E:3,0,C,T,,,,21,,,,,1,3,1
37,T:M-E:3,0,D,T,,,,22,,,,,1,3,1
38,H:M-L:1,0,A,H,0,,,,,,,,2,1,1
38,H:M-L:1,0,B,H,28,,,,,,,,2,1,1
38,H:M-L:1,0,C,H,22,,,,,,,,2,1,1
38,H:M-L:1,0,D,H,58,,,,,,,,2,1,1
39,R:D-L:2,1,A,R,18,1,0,0,0,0,0,,2,2,1
39,R:D-L:2,1,B,R,8,22,0,0,5,1,0,,2,2,1
39,R:D-L:2,1,C,R,18,3,1,0,0,0,0,,2,2,1
39,R:D-L:2,1,D,R,16,44,1,0,6,0,0,,2,2,1
40,L:M-E:5,0,A,L,,,4,,,,,,1,5,1
40,L:M-E:5,0,B,L,,,2,,,,,,1,5,1
40,L:M-E:5,0,C,L,,,5,,,,,,1,5,1
40,L:M-E:5,0,D,L,,,17,,,,,,1,5,1
41,S:D-C:4,1,A,S,21,127,1,0,0,1,1,,0,4,1
41,S:D-C:4,1,B,S,17,78,1,1,0,5,7,,0,4,1
41,S:D-C:4,1,C,S,18,43,0,0,0,1,2,,0,4,1
41,S:D-C:4,1,D,S,9,78,0,0,0,4,15,,0,4,1
42,R:D-L:4,1,A,R,8,47,0,0,17,0,7,,2,4,1
42,R:D-L:4,1,B,R,31,51,0,0,5,0,0,,2,4,1
42,R:D-L:4,1,C,R,14,53,0,0,2,1,0,,2,4,1
42,R:D-L:4,1,D,R,33,15,0,0,2,0,0,,2,4,1
43,O:M-C:2,0,A,O,,,,,,201,,,0,2,1
43,O:M-C:2,0,B,O,,,,,,140,,,0,2,1
43,O:M-C:2,0,C,O,,,,,,153,,,0,2,1
43,O:M-C:2,0,D,O,,,,,,90,,,0,2,1
44,L:D-L:4,1,A,L,25,0,0,0,0,0,0,,2,4,1
44,L:D-L:4,1,B,L,1,1,0,0,0,0,0,,2,4,1
44,L:D-L:4,1,C,L,27,0,0,0,0,0,0,,2,4,1
44,L:D-L:4,1,D,L,26,0,0,0,0,0,0,,2,4,1
45,T:D-L:5,1,A,T,23,0,0,0,0,0,0,,2,5,1
45,T:D-L:5,1,B,T,16,0,0,0,0,0,0,,2,5,1
45,T:D-L:5,1,C,T,12,0,0,0,0,0,0,,2,5,1
45,T:D-L:5,1,D,T,18,0,0,0,0,0,0,,2,5,1
46,B:D-L:3,1,A,B,25,56,0,0,0,0,0,,2,3,1
46,B:D-L:3,1,B,B,33,85,0,0,0,0,0,,2,3,1
46,B:D-L:3,1,C,B,45,6,0,0,0,0,0,,2,3,1
46,B:D-L:3,1,D,B,48,24,0,0,0,0,0,,2,3,1
47,T:D-L:3,1,A,T,25,71,0,0,0,0,0,,2,3,1
47,T:D-L:3,1,B,T,32,18,0,1,0,0,0,,2,3,1
47,T:D-L:3,1,C,T,19,78,0,1,0,0,0,,2,3,1
47,T:D-L:3,1,D,T,60,12,0,0,0,0,0,,2,3,1
48,R:D-L:1,1,A,R,36,34,0,2,19,1,0,,2,1,1
48,R:D-L:1,1,B,R,18,52,0,2,34,0,1,,2,1,1
48,R:D-L:1,1,C,R,42,40,0,1,7,0,0,,2,1,1
48,R:D-L:1,1,D,R,19,72,5,3,8,1,3,,2,1,1
49,B:D-E:3,1,A,B,0,85,0,1,0,1,22,,1,3,1
49,B:D-E:3,1,B,B,0,80,1,0,3,1,6,,1,3,1
49,B:D-E:3,1,C,B,0,78,0,0,0,0,28,,1,3,1
49,B:D-E:3,1,D,B,0,50,0,0,0,1,17,,1,3,1
50,O:M-C:5,0,A,O,,,,,,77,,,0,5,1
50,O:M-C:5,0,B,O,,,,,,158,,,0,5,1
50,O:M-C:5,0,C,O,,,,,,108,,,0,5,1
50,O:M-C:5,0,D,O,,,,,,197,,,0,5,1
51,H:M-E:1,0,A,H,89,,,,,,,,1,1,1
51,H:M-E:1,0,B,H,80,,,,,,,,1,1,1
51,H:M-E:1,0,C,H,78,,,,,,,,1,1,1
51,H:M-E:1,0,D,H,66,,,,,,,,1,1,1
52,O:D-C:2,1,A,O,5,4,0,0,0,1,0,,0,2,1
52,O:D-C:2,1,B,O,0,3,0,0,0,1,1,,0,2,1
52,O:D-C:2,1,C,O,0,4,0,0,0,0,1,,0,2,1
52,O:D-C:2,1,D,O,0,7,0,0,0,1,0,,0,2,1
53,T:D-C:5,1,A,T,18,5,0,0,0,0,0,,0,5,1
53,T:D-C:5,1,B,T,40,0,0,0,0,0,0,,0,5,1
53,T:D-C:5,1,C,T,8,1,0,0,0,0,0,,0,5,1
53,T:D-C:5,1,D,T,26,0,0,0,0,0,0,,0,5,1
54,R:M-C:3,0,A,R,,,,,61,,,,0,3,1
54,R:M-C:3,0,B,R,,,,,69,,,,0,3,1
54,R:M-C:3,0,C,R,,,,,79,,,,0,3,1
54,R:M-C:3,0,D,R,,,,,71,,,,0,3,1
55,H:D-C:4,1,A,H,0,0,0,0,0,0,0,,0,4,1
55,H:D-C:4,1,B,H,0,0,0,0,1,1,0,,0,4,1
55,H:D-C:4,1,C,H,0,0,0,0,0,0,0,,0,4,1
55,H:D-C:4,1,D,H,1,0,0,0,3,0,0,,0,4,1
56,L:D-C:4,1,A,L,35,44,0,0,0,0,0,,0,4,1
56,L:D-C:4,1,B,L,45,47,0,0,0,1,4,,0,4,1
56,L:D-C:4,1,C,L,24,87,0,0,0,0,1,,0,4,1
56,L:D-C:4,1,D,L,22,39,0,0,3,0,4,,0,4,1
57,O:D-C:3,1,A,O,62,0,0,0,0,0,0,,0,3,1
57,O:D-C:3,1,B,O,98,0,0,0,0,0,2,,0,3,1
57,O:D-C:3,1,C,O,25,0,0,0,0,0,0,,0,3,1
57,O:D-C:3,1,D,O,39,0,0,0,0,0,0,,0,3,1
58,H:D-C:1,1,A,H,44,52,0,0,0,0,0,,0,1,1
58,H:D-C:1,1,B,H,26,11,1,0,3,5,4,,0,1,1
58,H:D-C:1,1,C,H,32,34,0,0,0,0,0,,0,1,1
58,H:D-C:1,1,D,H,15,51,0,0,2,1,0,,0,1,1
59,T:M-C:1,0,A,T,,,,27,,,,,0,1,1
59,T:M-C:1,0,B,T,,,,26,,,,,0,1,1
59,T:M-C:1,0,C,T,,,,19,,,,,0,1,1
59,T:M-C:1,0,D,T,,,,14,,,,,0,1,1
60,R:D-E:1,1,A,R,24,96,0,2,5,17,8,,1,1,1
60,R:D-E:1,1,B,R,29,114,0,1,1,2,0,,1,1,1
60,R:D-E:1,1,C,R,20,110,0,2,9,12,2,,1,1,1
60,R:D-E:1,1,D,R,27,79,0,0,15,4,2,,1,1,1
61,T:D-C:2,1,A,T,24,41,0,0,0,0,1,,0,2,1
61,T:D-C:2,1,B,T,48,31,0,1,0,1,17,,0,2,1
61,T:D-C:2,1,C,T,35,19,0,0,0,0,3,,0,2,1
61,T:D-C:2,1,D,T,28,47,0,2,3,0,23,,0,2,1
62,L:D-C:1,1,A,L,25,17,0,1,12,9,9,,0,1,1
62,L:D-C:1,1,B,L,16,7,1,1,30,11,8,,0,1,1
62,L:D-C:1,1,C,L,21,90,0,0,0,0,2,,0,1,1
62,L:D-C:1,1,D,L,23,77,0,0,0,1,6,,0,1,1
63,S:D-L:2,1,A,S,30,33,0,0,2,0,0,,2,2,1
63,S:D-L:2,1,B,S,22,67,0,0,0,0,0,,2,2,1
63,S:D-L:2,1,C,S,23,105,0,0,0,0,0,,2,2,1
63,S:D-L:2,1,D,S,17,73,0,0,0,4,1,,2,2,1
64,H:D-L:2,1,A,H,11,23,0,2,0,1,15,,2,2,1
64,H:D-L:2,1,B,H,5,31,0,6,0,1,37,,2,2,1
64,H:D-L:2,1,C,H,35,39,0,1,0,0,0,,2,2,1
64,H:D-L:2,1,D,H,27,37,0,0,6,5,25,,2,2,1
65,R:D-C:4,1,A,R,20,34,0,0,7,0,2,,0,4,1
65,R:D-C:4,1,B,R,16,67,0,0,20,2,4,,0,4,1
65,R:D-C:4,1,C,R,26,33,0,0,5,0,0,,0,4,1
65,R:D-C:4,1,D,R,43,64,0,0,12,0,0,,0,4,1
66,H:M-C:2,0,A,H,31,,,,,,,,0,2,1
66,H:M-C:2,0,B,H,28,,,,,,,,0,2,1
66,H:M-C:2,0,C,H,9,,,,,,,,0,2,1
66,H:M-C:2,0,D,H,14,,,,,,,,0,2,1
67,H:M-C:1,0,A,H,0,,,,,,,,0,1,1
67,H:M-C:1,0,B,H,1,,,,,,,,0,1,1
67,H:M-C:1,0,C,H,3,,,,,,,,0,1,1
67,H:M-C:1,0,D,H,0,,,,,,,,0,1,1
68,O:D-E:1,1,A,O,44,145,0,0,0,0,0,,1,1,1
68,O:D-E:1,1,B,O,64,137,0,0,2,0,1,,1,1,1
68,O:D-E:1,1,C,O,29,139,0,0,1,1,5,,1,1,1
68,O:D-E:1,1,D,O,21,83,0,0,4,6,3,,1,1,1
69,H:D-C:3,1,A,H,17,0,0,0,0,0,0,,0,3,1
69,H:D-C:3,1,B,H,10,44,0,0,0,0,0,,0,3,1
69,H:D-C:3,1,C,H,48,1,0,0,0,0,0,,0,3,1
69,H:D-C:3,1,D,H,35,0,0,0,0,0,0,,0,3,1
70,B:D-C:1,1,A,B,NA,NA,NA,NA,NA,NA,NA,Skipped- remove from analysis,0,1,1
70,B:D-C:1,1,B,B,NA,NA,NA,NA,NA,NA,NA,All plants dead,0,1,1
70,B:D-C:1,1,C,B,NA,NA,NA,NA,NA,NA,NA,Bromus in very,0,1,1
70,B:D-C:1,1,D,B,NA,NA,NA,NA,NA,NA,NA,High density,0,1,1
71,T:M-E:5,0,A,T,,,,31,,,,,1,5,1
71,T:M-E:5,0,B,T,,,,7,,,,,1,5,1
71,T:M-E:5,0,C,T,,,,23,,,,,1,5,1
71,T:M-E:5,0,D,T,,,,13,,,,,1,5,1
72,H:M-C:3,0,A,H,19,,,,,,,,0,3,1
72,H:M-C:3,0,B,H,21,,,,,,,,0,3,1
72,H:M-C:3,0,C,H,30,,,,,,,,0,3,1
72,H:M-C:3,0,D,H,37,,,,,,,,0,3,1
73,S:D-C:5,1,A,S,17,46,0,3,4,4,0,,0,5,1
73,S:D-C:5,1,B,S,22,83,0,2,1,6,20,,0,5,1
73,S:D-C:5,1,C,S,28,85,1,7,4,0,0,,0,5,1
73,S:D-C:5,1,D,S,29,59,0,3,5,7,2,,0,5,1
74,B:D-L:5,1,A,B,7,46,0,0,0,0,0,,2,5,1
74,B:D-L:5,1,B,B,28,47,0,0,0,0,0,,2,5,1
74,B:D-L:5,1,C,B,14,0,0,0,0,0,0,,2,5,1
74,B:D-L:5,1,D,B,14,19,0,0,0,0,0,,2,5,1
75,H:M-L:4,0,A,H,15,,,,,,,,2,4,1
75,H:M-L:4,0,B,H,3,,,,,,,,2,4,1
75,H:M-L:4,0,C,H,13,,,,,,,,2,4,1
75,H:M-L:4,0,D,H,2,,,,,,,,2,4,1
76,S:D-E:4,1,A,S,20,69,0,13,23,4,0,,1,4,1
76,S:D-E:4,1,B,S,35,47,5,4,0,19,4,,1,4,1
76,S:D-E:4,1,C,S,34,233,0,1,2,3,2,,1,4,1
76,S:D-E:4,1,D,S,28,118,2,4,1,6,0,,1,4,1
77,B:M-C:5,0,A,B,,640,,,,,,,0,5,1
77,B:M-C:5,0,B,B,,,,,,,,,0,5,1
77,B:M-C:5,0,C,B,,,,,,,,,0,5,1
77,B:M-C:5,0,D,B,,511,,,,,,,0,5,1
78,T:M-L:1,0,A,T,,,,41,,,,,2,1,1
78,T:M-L:1,0,B,T,,,,64,,,,,2,1,1
78,T:M-L:1,0,C,T,,,,46,,,,,2,1,1
78,T:M-L:1,0,D,T,,,,34,,,,,2,1,1
79,B:D-C:4,1,A,B,6,80,0,0,0,0,0,,0,4,1
79,B:D-C:4,1,B,B,14,59,0,0,0,0,0,,0,4,1
79,B:D-C:4,1,C,B,14,34,0,0,0,0,0,,0,4,1
79,B:D-C:4,1,D,B,6,34,0,0,0,4,1,,0,4,1
80,O:M-E:5,0,A,O,,,,,,143,,,1,5,1
80,O:M-E:5,0,B,O,,,,,,117,,,1,5,1
80,O:M-E:5,0,C,O,,,,,,82,,,1,5,1
80,O:M-E:5,0,D,O,,,,,,91,,,1,5,1
81,S:M-E:2,0,A,S,,,,,,,2,,1,2,1
81,S:M-E:2,0,B,S,,,,,,,12,,1,2,1
81,S:M-E:2,0,C,S,,,,,,,3,,1,2,1
81,S:M-E:2,0,D,S,,,,,,,10,,1,2,1
82,R:M-L:5,0,A,R,,,,,229,,,,2,5,1
82,R:M-L:5,0,B,R,,,,,259,,,,2,5,1
82,R:M-L:5,0,C,R,,,,,337,,,,2,5,1
82,R:M-L:5,0,D,R,,,,,445,,,,2,5,1
83,B:M-L:3,0,A,B,,,,,,,,,2,3,1
83,B:M-L:3,0,B,B,,305,,,,,,,2,3,1
83,B:M-L:3,0,C,B,,310,,,,,,,2,3,1
83,B:M-L:3,0,D,B,,,,,,,,,2,3,1
84,S:D-E:1,1,A,S,26,35,0,0,2,0,0,,1,1,1
84,S:D-E:1,1,B,S,13,42,1,0,6,2,3,,1,1,1
84,S:D-E:1,1,C,S,22,104,2,0,1,3,0,,1,1,1
84,S:D-E:1,1,D,S,19,27,0,2,0,3,0,,1,1,1
85,B:D-E:1,1,A,B,5,186,0,0,0,0,0,,1,1,1
85,B:D-E:1,1,B,B,4,161,0,0,0,0,0,,1,1,1
85,B:D-E:1,1,C,B,2,140,0,0,0,0,0,,1,1,1
85,B:D-E:1,1,D,B,3,123,0,0,0,0,0,,1,1,1
86,R:D-C:2,1,A,R,0,18,0,0,39,1,1,,0,2,1
86,R:D-C:2,1,B,R,2,19,0,2,27,11,1,,0,2,1
86,R:D-C:2,1,C,R,3,26,0,2,20,0,1,,0,2,1
86,R:D-C:2,1,D,R,7,32,0,5,10,8,8,,0,2,1
87,T:M-L:2,0,A,T,,,,0,,,,,2,2,1
87,T:M-L:2,0,B,T,,,,0,,,,,2,2,1
87,T:M-L:2,0,C,T,,,,0,,,,,2,2,1
87,T:M-L:2,0,D,T,,,,0,,,,,2,2,1
88,S:M-C:2,0,A,S,,,,,,,20,,0,2,1
88,S:M-C:2,0,B,S,,,,,,,39,,0,2,1
88,S:M-C:2,0,C,S,,,,,,,60,,0,2,1
88,S:M-C:2,0,D,S,,,,,,,38,,0,2,1
89,O:D-E:4,1,A,O,16,94,0,4,3,7,28,,1,4,1
89,O:D-E:4,1,B,O,30,36,0,5,11,24,11,,1,4,1
89,O:D-E:4,1,C,O,25,109,0,2,2,5,20,,1,4,1
89,O:D-E:4,1,D,O,28,48,0,0,18,12,9,,1,4,1
90,L:M-L:1,0,A,L,,,25,,,,,,2,1,1
90,L:M-L:1,0,B,L,,,29,,,,,,2,1,1
90,L:M-L:1,0,C,L,,,0,,,,,,2,1,1
90,L:M-L:1,0,D,L,,,24,,,,,,2,1,1
91,B:M-C:3,0,A,B,,431,,,,,,,0,3,1
91,B:M-C:3,0,B,B,,,,,,,,,0,3,1
91,B:M-C:3,0,C,B,,,,,,,,,0,3,1
91,B:M-C:3,0,D,B,,465,,,,,,,0,3,1
92,H:M-E:5,0,A,H,17,,,,,,,,1,5,1
92,H:M-E:5,0,B,H,16,,,,,,,,1,5,1
92,H:M-E:5,0,C,H,0,,,,,,,,1,5,1
92,H:M-E:5,0,D,H,2,,,,,,,,1,5,1
93,B:M-C:1,0,A,B,,,,,,,,,0,1,1
93,B:M-C:1,0,B,B,,223,,,,,,,0,1,1
93,B:M-C:1,0,C,B,,318,,,,,,,0,1,1
93,B:M-C:1,0,D,B,,,,,,,,,0,1,1
94,T:D-C:4,1,A,T,40,72,0,0,0,0,0,,0,4,1
94,T:D-C:4,1,B,T,18,16,0,0,0,2,2,,0,4,1
94,T:D-C:4,1,C,T,46,28,0,0,0,0,0,,0,4,1
94,T:D-C:4,1,D,T,26,46,0,0,1,3,13,,0,4,1
95,B:D-C:2,1,A,B,16,64,0,0,0,0,9,,0,2,1
95,B:D-C:2,1,B,B,21,75,0,0,0,2,5,,0,2,1
95,B:D-C:2,1,C,B,29,52,0,0,0,0,0,,0,2,1
95,B:D-C:2,1,D,B,57,123,0,0,0,0,0,,0,2,1
96,T:D-E:5,1,A,T,22,73,0,5,0,7,15,,1,5,1
96,T:D-E:5,1,B,T,16,85,0,5,0,13,29,,1,5,1
96,T:D-E:5,1,C,T,28,48,0,3,2,6,10,,1,5,1
96,T:D-E:5,1,D,T,64,14,0,15,3,9,0,,1,5,1
97,H:D-C:2,1,A,H,20,36,0,0,0,0,0,,0,2,1
97,H:D-C:2,1,B,H,20,33,0,0,0,0,0,,0,2,1
97,H:D-C:2,1,C,H,27,24,0,0,0,0,0,,0,2,1
97,H:D-C:2,1,D,H,31,34,0,0,0,0,0,,0,2,1
98,O:D-C:5,1,A,O,26,27,0,0,0,0,0,,0,5,1
98,O:D-C:5,1,B,O,,,1,0,0,0,0,,0,5,1
98,O:D-C:5,1,C,O,,,0,0,0,0,0,,0,5,1
98,O:D-C:5,1,D,O,38,17,0,0,0,0,0,,0,5,1
99,H:D-L:4,1,A,H,,,0,0,0,0,0,,2,4,1
99,H:D-L:4,1,B,H,50,0,0,0,0,0,,,2,4,1
99,H:D-L:4,1,C,H,60,0,0,0,0,0,0,,2,4,1
99,H:D-L:4,1,D,H,,,0,0,0,0,0,,2,4,1
100,B:M-C:4,0,A,B,,465,,,,,,,0,4,1
100,B:M-C:4,0,B,B,,444,,,,,,,0,4,1
100,B:M-C:4,0,C,B,,,,,,,,,0,4,1
100,B:M-C:4,0,D,B,,,,,,,,,0,4,1
101,R:M-E:2,0,A,R,,,,,386,,,,1,2,1
